,MovieID,img-url,movie-title,movie-url
0,1.0,https://image.tmdb.org/t/p/w500/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Toy Story,http://www.imdb.com/title/tt0114709/
1,2.0,https://image.tmdb.org/t/p/w500/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,GoldenEye,http://www.imdb.com/title/tt0113189/
2,3.0,https://image.tmdb.org/t/p/w500/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Four Rooms,http://www.imdb.com/title/tt0113101/
3,4.0,https://image.tmdb.org/t/p/w500/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,Get Shorty,http://www.imdb.com/title/tt0113161/
4,5.0,https://image.tmdb.org/t/p/w500/80czeJGSoik22fhtUM9WzyjUU4r.jpg,Copycat,http://www.imdb.com/title/tt0112722/
5,6.0,https://image.tmdb.org/t/p/w500/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,Shanghai Triad (Yao a yao yao dao waipo qiao),http://www.imdb.com/title//
6,7.0,https://image.tmdb.org/t/p/w500/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,Twelve Monkeys,http://www.imdb.com/title/tt0114746/
7,8.0,https://image.tmdb.org/t/p/w500/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,Babe,http://www.imdb.com/title/tt0112431/
8,9.0,https://image.tmdb.org/t/p/w500/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,Dead Man Walking,http://www.imdb.com/title/tt0112818/
9,10.0,https://image.tmdb.org/t/p/w500/3zp2Kg5bvlFkKmWiQLmuWQAIEgG.jpg,Richard III,http://www.imdb.com/title/tt0114279/
10,11.0,https://image.tmdb.org/t/p/w500/mX8SsTw2uApc02W8SBIKeprcWr1.jpg,Seven (Se7en),http://www.imdb.com/title/tt0114369/
11,12.0,https://image.tmdb.org/t/p/w500/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,"Usual Suspects, The",http://www.imdb.com/title/tt0114814/
12,13.0,https://image.tmdb.org/t/p/w500/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,Mighty Aphrodite,http://www.imdb.com/title/tt0113819/
13,14.0,https://image.tmdb.org/t/p/w500/jRoAYhHrj7nrd9BuXNUCRCXWdql.jpg,"Postino, Il",http://www.imdb.com/title/tt0110877/
14,15.0,https://image.tmdb.org/t/p/w500/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,Mr. Holland's Opus,http://www.imdb.com/title/tt0113862/
15,16.0,https://image.tmdb.org/t/p/w500/pX0NVXSHI9y6LKaVpgGA5ojiUqD.jpg,French Twist (Gazon maudit),http://www.imdb.com/title//
16,17.0,https://image.tmdb.org/t/p/w500/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,From Dusk Till Dawn,http://www.imdb.com/title/tt0116367/
17,18.0,https://image.tmdb.org/t/p/w500/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg,"White Balloon, The",http://www.imdb.com/title//
18,19.0,https://image.tmdb.org/t/p/w500/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,Antonia's Line,http://www.imdb.com/title//
19,20.0,https://image.tmdb.org/t/p/w500/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,Angels and Insects,http://www.imdb.com/title//
20,21.0,https://image.tmdb.org/t/p/w500/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg,Muppet Treasure Island,http://www.imdb.com/title//
21,22.0,https://image.tmdb.org/t/p/w500/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,Braveheart,http://www.imdb.com/title/tt0112573/
22,23.0,https://image.tmdb.org/t/p/w500/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,Taxi Driver,http://www.imdb.com/title/tt0075314/
23,24.0,https://image.tmdb.org/t/p/w500/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg,Rumble in the Bronx,http://www.imdb.com/title/tt0113326/
24,25.0,https://image.tmdb.org/t/p/w500/wRTkvqRTB05gcGInsnGqVgLkb3t.jpg,"Birdcage, The",http://www.imdb.com/title/tt0115685/
25,26.0,https://image.tmdb.org/t/p/w500/8YlwQ2BBH6PY3Tl0bOf0fLep31h.jpg,"Brothers McMullen, The",http://www.imdb.com/title//
26,27.0,https://image.tmdb.org/t/p/w500/nkRagoJbx9H3zVSEDyH5ldfgwyR.jpg,Bad Boys,http://www.imdb.com/title/tt0112442/
27,28.0,https://image.tmdb.org/t/p/w500/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,Apollo 13,http://www.imdb.com/title/tt0112384/
28,29.0,https://image.tmdb.org/t/p/w500/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,Batman Forever,http://www.imdb.com/title/tt0112462/
29,30.0,https://image.tmdb.org/t/p/w500/rHvKWARrhNwSjbTMJrn5v4LtUJE.jpg,Belle de jour,http://www.imdb.com/title/tt0061395/
30,31.0,https://image.tmdb.org/t/p/w500/oDJyDX11HW4j565vUjmFagKxDTQ.jpg,Crimson Tide,http://www.imdb.com/title/tt0112740/
31,32.0,https://image.tmdb.org/t/p/w500/yzK39sdkGoiSyKZEWT6HQzaC0BX.jpg,Crumb,http://www.imdb.com/title/tt0109508/
32,33.0,https://image.tmdb.org/t/p/w500/7eVo5DbP7gcsDzHcpRCTA6JAuF2.jpg,Desperado,http://www.imdb.com/title/tt0112851/
33,34.0,https://image.tmdb.org/t/p/w500/6ZwsSedjyzR0poDrKlJaYWoseaH.jpg,"Doom Generation, The",http://www.imdb.com/title//
34,35.0,https://image.tmdb.org/t/p/w500/yLyyjm4m3fSvbazyFv4RtUnb2uQ.jpg,Free Willy 2: The Adventure Home,http://www.imdb.com/title//
35,36.0,https://image.tmdb.org/t/p/w500/yLq2bns665GyK5UcMXKUJmItm7F.jpg,Mad Love,http://www.imdb.com/title//
36,37.0,https://image.tmdb.org/t/p/w500/bRz2J0jlMgczJptX0Atzo9l70Bd.jpg,Nadja,http://www.imdb.com/title//
37,38.0,https://image.tmdb.org/t/p/w500/gKDNaAFzT21cSVeKQop7d1uhoSp.jpg,"Net, The",http://www.imdb.com/title/tt0113957/
38,39.0,https://image.tmdb.org/t/p/w500/rXvy5hG9OeVmgnv9w4IhQxhqEKD.jpg,Strange Days,http://www.imdb.com/title/tt0114558/
39,40.0,https://image.tmdb.org/t/p/w500/xIDEoG9FQGmMCh5XsbkvSuD8WrW.jpg,"To Wong Foo, Thanks for Everything! Julie Newmar",http://www.imdb.com/title//
40,41.0,https://image.tmdb.org/t/p/w500/5mP8F0NYSVrwrlWRCSD4uywMNnX.jpg,Billy Madison,http://www.imdb.com/title/tt0112508/
41,42.0,https://image.tmdb.org/t/p/w500/dmNytzvQTjylI83qrgDoS1KQ0ev.jpg,Clerks,http://www.imdb.com/title/tt0109445/
42,43.0,https://image.tmdb.org/t/p/w500/qbwcjmHnXkeE8l7wNBsdnlrp3J4.jpg,Disclosure,http://www.imdb.com/title/tt0109635/
43,44.0,https://image.tmdb.org/t/p/w500/ewmVWV0TP8LTlYZ4OzCcguwC9d1.jpg,Dolores Claiborne,http://www.imdb.com/title/tt0109642/
